Number,CallDecisionYear,CountryIsoCode,FundingInstrumentGaReporting,Country,Continent,research_area
108922,2005,FR,Fellowships,France,Europe,MINT
108922,2005,DE,Fellowships,Germany,Europe,MINT
108922,2005,US,Fellowships,United States,North America,MINT
108923,2005,US,Fellowships,United States,North America,MINT
108928,2005,US,Fellowships,United States,North America,MINT
108932,2005,MX,Fellowships,NA,Latin America,MINT
108933,2005,NL,Fellowships,Netherlands,Europe,MINT
108933,2005,US,Fellowships,United States,North America,MINT
108937,2005,US,Fellowships,United States,North America,LS
108939,2005,US,Fellowships,United States,North America,MINT
108944,2005,ES,Fellowships,Spain,Europe,SSH
108947,2005,CA,Fellowships,Canada,North America,MINT
108947,2005,CA,Fellowships,Canada,North America,MINT
108949,2005,FR,Fellowships,France,Europe,SSH
108949,2005,GR,Fellowships,NA,Europe,SSH
108950,2005,DE,Fellowships,Germany,Europe,SSH
108952,2005,DE,Fellowships,Germany,Europe,SSH
108954,2005,US,Fellowships,United States,North America,SSH
108954,2005,DE,Fellowships,Germany,Europe,SSH
108955,2005,FR,Fellowships,France,Europe,SSH
108956,2005,IT,Fellowships,Italy,Europe,SSH
108957,2005,UK,Fellowships,United Kingdom,Europe,MINT
108957,2005,DE,Fellowships,Germany,Europe,MINT
108959,2005,US,Fellowships,United States,North America,MINT
108963,2005,US,Fellowships,United States,North America,MINT
108964,2005,US,Fellowships,United States,North America,MINT
108965,2005,US,Fellowships,United States,North America,SSH
108968,2005,US,Fellowships,United States,North America,MINT
108973,2005,UK,Fellowships,United Kingdom,Europe,SSH
108973,2005,NL,Fellowships,Netherlands,Europe,SSH
108974,2005,AT,Fellowships,Austria,Europe,LS
108975,2005,FR,Fellowships,France,Europe,SSH
108976,2005,US,Fellowships,United States,North America,MINT
108978,2005,FR,Fellowships,France,Europe,MINT
108978,2005,AT,Fellowships,Austria,Europe,MINT
108980,2005,SE,Fellowships,Sweden,Europe,MINT
108980,2005,US,Fellowships,United States,North America,MINT
108985,2005,NL,Fellowships,Netherlands,Europe,SSH
108985,2005,US,Fellowships,United States,North America,SSH
108986,2005,UK,Fellowships,United Kingdom,Europe,SSH
108988,2005,NL,Fellowships,Netherlands,Europe,SSH
108988,2005,ZA,Fellowships,NA,Africa,SSH
108988,2005,US,Fellowships,United States,North America,SSH
108991,2005,US,Fellowships,United States,North America,SSH
108993,2005,IT,Fellowships,Italy,Europe,SSH
108995,2005,US,Fellowships,United States,North America,SSH
108996,2005,AU,Fellowships,Australia,Oceania,SSH
108996,2005,US,Fellowships,United States,North America,SSH
108996,2005,US,Fellowships,United States,North America,SSH
108996,2005,US,Fellowships,United States,North America,SSH
108997,2005,DE,Fellowships,Germany,Europe,SSH
108998,2005,US,Fellowships,United States,North America,SSH
109001,2005,FR,Fellowships,France,Europe,SSH
109001,2005,FR,Fellowships,France,Europe,SSH
109002,2005,FR,Fellowships,France,Europe,SSH
109003,2005,FR,Fellowships,France,Europe,SSH
109004,2005,DE,Fellowships,Germany,Europe,SSH
109008,2005,IT,Fellowships,Italy,Europe,LS
109009,2005,UK,Fellowships,United Kingdom,Europe,LS
109011,2005,AU,Fellowships,Australia,Oceania,LS
109013,2005,NZ,Fellowships,NA,Oceania,MINT
109013,2005,AU,Fellowships,Australia,Oceania,MINT
109015,2005,DE,Fellowships,Germany,Europe,MINT
109015,2005,SE,Fellowships,Sweden,Europe,MINT
109018,2005,US,Fellowships,United States,North America,MINT
109020,2005,UK,Fellowships,United Kingdom,Europe,MINT
109020,2005,DE,Fellowships,Germany,Europe,MINT
109021,2005,UK,Fellowships,United Kingdom,Europe,MINT
109022,2005,US,Fellowships,United States,North America,LS
109023,2005,CA,Fellowships,Canada,North America,MINT
109026,2005,DE,Fellowships,Germany,Europe,LS
109030,2005,CA,Fellowships,Canada,North America,MINT
109032,2005,UK,Fellowships,United Kingdom,Europe,LS
109033,2005,US,Fellowships,United States,North America,LS
109035,2005,US,Fellowships,United States,North America,LS
109037,2005,UK,Fellowships,United Kingdom,Europe,LS
109038,2005,US,Fellowships,United States,North America,LS
109045,2005,US,Fellowships,United States,North America,LS
109045,2005,US,Fellowships,United States,North America,LS
109047,2005,US,Fellowships,United States,North America,LS
109048,2005,US,Fellowships,United States,North America,LS
109053,2005,FR,Fellowships,France,Europe,LS
109055,2005,US,Fellowships,United States,North America,LS
109056,2005,US,Fellowships,United States,North America,MINT
109076,2005,UK,Fellowships,United Kingdom,Europe,LS
109081,2005,IT,Fellowships,Italy,Europe,LS
109082,2005,UK,Fellowships,United Kingdom,Europe,LS
109084,2005,NL,Fellowships,Netherlands,Europe,LS
109085,2005,CA,Fellowships,Canada,North America,LS
109089,2005,AT,Fellowships,Austria,Europe,SSH
109089,2005,AT,Fellowships,Austria,Europe,SSH
109090,2005,AU,Fellowships,Australia,Oceania,MINT
109092,2005,US,Fellowships,United States,North America,LS
109094,2005,AU,Fellowships,Australia,Oceania,LS
109096,2005,AT,Fellowships,Austria,Europe,SSH
109105,2005,US,Fellowships,United States,North America,MINT
109434,2005,CA,Fellowships,Canada,North America,LS
109445,2005,DK,Fellowships,NA,Europe,LS
109593,2005,US,Fellowships,United States,North America,LS
109652,2005,CA,Fellowships,Canada,North America,LS
109803,2005,US,Fellowships,United States,North America,LS
109813,2005,UK,Fellowships,United Kingdom,Europe,MINT
109819,2005,AT,Fellowships,Austria,Europe,MINT
109835,2005,US,Fellowships,United States,North America,MINT
109835,2005,US,Fellowships,United States,North America,MINT
109963,2005,US,Fellowships,United States,North America,MINT
110008,2005,AU,Fellowships,Australia,Oceania,LS
110064,2005,US,Fellowships,United States,North America,MINT
110148,2005,UK,Fellowships,United Kingdom,Europe,SSH
110157,2005,UK,Fellowships,United Kingdom,Europe,SSH
110157,2005,IT,Fellowships,Italy,Europe,SSH
110157,2005,FR,Fellowships,France,Europe,SSH
110163,2005,FR,Fellowships,France,Europe,LS
110164,2005,DE,Fellowships,Germany,Europe,MINT
110166,2005,US,Fellowships,United States,North America,MINT
110173,2005,KR,Fellowships,NA,Asia,MINT
110179,2005,US,Fellowships,United States,North America,MINT
110191,2005,UK,Fellowships,United Kingdom,Europe,LS
110196,2005,SE,Fellowships,Sweden,Europe,LS
110209,2005,US,Fellowships,United States,North America,MINT
110211,2005,US,Fellowships,United States,North America,MINT
110213,2005,UK,Fellowships,United Kingdom,Europe,LS
110214,2005,FR,Fellowships,France,Europe,LS
110216,2005,US,Fellowships,United States,North America,MINT
110222,2005,US,Fellowships,United States,North America,MINT
110227,2005,US,Fellowships,United States,North America,MINT
110228,2005,CA,Fellowships,Canada,North America,MINT
110230,2005,NL,Fellowships,Netherlands,Europe,LS
110237,2005,US,Fellowships,United States,North America,MINT
110240,2005,US,Fellowships,United States,North America,MINT
110241,2005,DE,Fellowships,Germany,Europe,MINT
110243,2005,US,Fellowships,United States,North America,MINT
110254,2005,FR,Fellowships,France,Europe,MINT
110258,2005,UK,Fellowships,United Kingdom,Europe,MINT
110268,2005,US,Fellowships,United States,North America,SSH
110274,2005,US,Fellowships,United States,North America,MINT
110277,2005,US,Fellowships,United States,North America,LS
110278,2005,US,Fellowships,United States,North America,LS
110281,2005,NO,Fellowships,NA,Europe,MINT
110303,2005,CA,Fellowships,Canada,North America,LS
110304,2005,US,Fellowships,United States,North America,MINT
110315,2005,NZ,Fellowships,NA,Oceania,MINT
110316,2005,UK,Fellowships,United Kingdom,Europe,LS
110318,2005,US,Fellowships,United States,North America,LS
110325,2005,US,Fellowships,United States,North America,LS
110328,2005,IN,Fellowships,NA,Asia,SSH
110330,2005,UK,Fellowships,United Kingdom,Europe,SSH
110332,2005,FR,Fellowships,France,Europe,MINT
110332,2005,FR,Fellowships,France,Europe,MINT
110346,2005,UK,Fellowships,United Kingdom,Europe,LS
110350,2005,US,Fellowships,United States,North America,LS
110351,2005,UK,Fellowships,United Kingdom,Europe,MINT
110374,2005,TN,Fellowships,NA,Africa,MINT
110382,2005,KE,Fellowships,NA,Africa,LS
110382,2005,KE,Fellowships,NA,Africa,LS
110393,2005,US,Fellowships,United States,North America,MINT
110395,2005,FR,Fellowships,France,Europe,SSH
110398,2005,UK,Fellowships,United Kingdom,Europe,SSH
110402,2005,US,Fellowships,United States,North America,SSH
110403,2005,NZ,Fellowships,NA,Oceania,LS
110407,2005,US,Fellowships,United States,North America,SSH
110412,2005,NL,Fellowships,Netherlands,Europe,LS
110412,2005,ES,Fellowships,Spain,Europe,LS
110417,2005,CA,Fellowships,Canada,North America,LS
110423,2005,US,Fellowships,United States,North America,MINT
110427,2005,US,Fellowships,United States,North America,LS
110432,2005,JP,Fellowships,NA,Asia,MINT
110436,2005,US,Fellowships,United States,North America,MINT
110437,2005,UK,Fellowships,United Kingdom,Europe,LS
110440,2005,US,Fellowships,United States,North America,MINT
110441,2005,CA,Fellowships,Canada,North America,LS
110462,2005,US,Fellowships,United States,North America,LS
110469,2005,FR,Fellowships,France,Europe,LS
110469,2005,CA,Fellowships,Canada,North America,LS
110470,2005,US,Fellowships,United States,North America,LS
110472,2005,CA,Fellowships,Canada,North America,MINT
110475,2005,US,Fellowships,United States,North America,MINT
110567,2005,UK,Fellowships,United Kingdom,Europe,LS
110583,2005,US,Fellowships,United States,North America,LS
110587,2005,DK,Fellowships,NA,Europe,LS
110597,2005,FR,Fellowships,France,Europe,MINT
110597,2005,UK,Fellowships,United Kingdom,Europe,MINT
110598,2005,ZA,Fellowships,NA,Africa,LS
110651,2005,US,Fellowships,United States,North America,LS
110658,2005,FR,Fellowships,France,Europe,LS
110660,2005,US,Fellowships,United States,North America,LS
110671,2005,SG,Fellowships,NA,Asia,LS
110672,2005,UK,Fellowships,United Kingdom,Europe,LS
110674,2005,US,Fellowships,United States,North America,LS
110730,2005,US,Fellowships,United States,North America,MINT
110735,2005,UK,Fellowships,United Kingdom,Europe,LS
110771,2005,US,Fellowships,United States,North America,MINT
110951,2005,US,Fellowships,United States,North America,LS
110955,2005,US,Fellowships,United States,North America,MINT
110959,2005,US,Fellowships,United States,North America,LS
110960,2005,US,Fellowships,United States,North America,MINT
110967,2005,US,Fellowships,United States,North America,MINT
111024,2005,BE,Fellowships,Belgium,Europe,LS
111028,2005,FR,Fellowships,France,Europe,LS
111040,2005,US,Fellowships,United States,North America,LS
111042,2005,US,Fellowships,United States,North America,MINT
111156,2005,AU,Fellowships,Australia,Oceania,LS
111157,2005,FR,Fellowships,France,Europe,MINT
111158,2005,CA,Fellowships,Canada,North America,LS
111168,2005,UK,Fellowships,United Kingdom,Europe,SSH
111194,2005,FR,Fellowships,France,Europe,MINT
111196,2005,US,Fellowships,United States,North America,LS
111197,2005,DK,Fellowships,NA,Europe,LS
111201,2005,US,Fellowships,United States,North America,LS
111203,2005,US,Fellowships,United States,North America,SSH
111205,2005,CA,Fellowships,Canada,North America,LS
111206,2005,AU,Fellowships,Australia,Oceania,LS
111207,2005,US,Fellowships,United States,North America,LS
111216,2005,CA,Fellowships,Canada,North America,LS
111216,2005,CA,Fellowships,Canada,North America,LS
111218,2005,FR,Fellowships,France,Europe,MINT
111219,2005,US,Fellowships,United States,North America,SSH
111221,2005,UK,Fellowships,United Kingdom,Europe,LS
111224,2005,US,Fellowships,United States,North America,LS
111225,2005,US,Fellowships,United States,North America,SSH
111226,2005,CL,Fellowships,NA,Latin America,MINT
111237,2005,US,Fellowships,United States,North America,MINT
111238,2005,NL,Fellowships,Netherlands,Europe,MINT
111246,2005,UK,Fellowships,United Kingdom,Europe,LS
111250,2005,US,Fellowships,United States,North America,MINT
111255,2005,US,Fellowships,United States,North America,LS
111256,2005,CA,Fellowships,Canada,North America,MINT
111257,2005,US,Fellowships,United States,North America,LS
111258,2005,US,Fellowships,United States,North America,MINT
111259,2005,US,Fellowships,United States,North America,LS
111265,2005,FR,Fellowships,France,Europe,MINT
111270,2005,FR,Fellowships,France,Europe,LS
111287,2005,US,Fellowships,United States,North America,MINT
111288,2005,US,Fellowships,United States,North America,MINT
111295,2005,UK,Fellowships,United Kingdom,Europe,MINT
111407,2005,DE,Fellowships,Germany,Europe,MINT
111407,2005,AT,Fellowships,Austria,Europe,MINT
111417,2005,FR,Fellowships,France,Europe,MINT
111417,2005,FR,Fellowships,France,Europe,MINT
111419,2005,NL,Fellowships,Netherlands,Europe,SSH
111427,2005,US,Fellowships,United States,North America,MINT
111428,2005,US,Fellowships,United States,North America,MINT
111430,2005,AU,Fellowships,Australia,Oceania,LS
111433,2005,US,Fellowships,United States,North America,MINT
111435,2005,BE,Fellowships,Belgium,Europe,MINT
111437,2005,DE,Fellowships,Germany,Europe,LS
111440,2005,UK,Fellowships,United Kingdom,Europe,LS
111440,2005,FI,Fellowships,NA,Europe,LS
111442,2005,FR,Fellowships,France,Europe,MINT
111442,2005,US,Fellowships,United States,North America,MINT
111444,2005,DK,Fellowships,NA,Europe,MINT
111445,2005,US,Fellowships,United States,North America,MINT
111446,2005,AU,Fellowships,Australia,Oceania,LS
111447,2005,US,Fellowships,United States,North America,LS
111448,2005,UK,Fellowships,United Kingdom,Europe,LS
111448,2005,UK,Fellowships,United Kingdom,Europe,LS
111449,2005,US,Fellowships,United States,North America,LS
111451,2005,UK,Fellowships,United Kingdom,Europe,LS
111453,2005,UK,Fellowships,United Kingdom,Europe,SSH
111453,2005,CA,Fellowships,Canada,North America,SSH
111453,2005,DE,Fellowships,Germany,Europe,SSH
111454,2005,US,Fellowships,United States,North America,LS
111456,2005,UK,Fellowships,United Kingdom,Europe,LS
111457,2005,US,Fellowships,United States,North America,LS
111466,2005,US,Fellowships,United States,North America,LS
111469,2005,BE,Fellowships,Belgium,Europe,SSH
111469,2005,US,Fellowships,United States,North America,SSH
111470,2005,US,Fellowships,United States,North America,SSH
111471,2005,UK,Fellowships,United Kingdom,Europe,SSH
111471,2005,DE,Fellowships,Germany,Europe,SSH
111476,2005,DE,Fellowships,Germany,Europe,SSH
111476,2005,UK,Fellowships,United Kingdom,Europe,SSH
111476,2005,UK,Fellowships,United Kingdom,Europe,SSH
111479,2005,FR,Fellowships,France,Europe,SSH
111484,2005,FR,Fellowships,France,Europe,SSH
111484,2005,DE,Fellowships,Germany,Europe,SSH
111484,2005,US,Fellowships,United States,North America,SSH
111488,2005,IT,Fellowships,Italy,Europe,SSH
111488,2005,UK,Fellowships,United Kingdom,Europe,SSH
111488,2005,DE,Fellowships,Germany,Europe,SSH
111494,2005,CA,Fellowships,Canada,North America,MINT
111498,2005,US,Fellowships,United States,North America,MINT
111498,2005,DE,Fellowships,Germany,Europe,MINT
111529,2005,US,Fellowships,United States,North America,LS
111551,2005,US,Fellowships,United States,North America,MINT
111553,2005,AU,Fellowships,Australia,Oceania,LS
111561,2005,US,Fellowships,United States,North America,LS
111563,2005,US,Fellowships,United States,North America,LS
111571,2005,US,Fellowships,United States,North America,LS
111572,2005,US,Fellowships,United States,North America,LS
111578,2005,UK,Fellowships,United Kingdom,Europe,SSH
111579,2005,US,Fellowships,United States,North America,MINT
111580,2005,IN,Fellowships,NA,Asia,MINT
111581,2005,UK,Fellowships,United Kingdom,Europe,LS
111583,2005,US,Fellowships,United States,North America,LS
111585,2005,US,Fellowships,United States,North America,LS
111586,2005,US,Fellowships,United States,North America,MINT
111588,2005,CA,Fellowships,Canada,North America,MINT
111590,2005,NO,Fellowships,NA,Europe,SSH
111590,2005,US,Fellowships,United States,North America,SSH
111591,2005,US,Fellowships,United States,North America,LS
111592,2005,US,Fellowships,United States,North America,LS
111593,2005,CA,Fellowships,Canada,North America,MINT
111594,2005,US,Fellowships,United States,North America,SSH
111595,2005,US,Fellowships,United States,North America,MINT
111596,2005,US,Fellowships,United States,North America,LS
111597,2005,US,Fellowships,United States,North America,LS
111603,2005,US,Fellowships,United States,North America,SSH
111604,2006,DK,Fellowships,NA,Europe,MINT
111605,2005,US,Fellowships,United States,North America,MINT
111606,2005,DE,Fellowships,Germany,Europe,MINT
111607,2005,US,Fellowships,United States,North America,LS
111609,2005,US,Fellowships,United States,North America,LS
111610,2005,AU,Fellowships,Australia,Oceania,LS
111611,2005,US,Fellowships,United States,North America,LS
111612,2005,US,Fellowships,United States,North America,LS
111618,2005,US,Fellowships,United States,North America,LS
111624,2005,US,Fellowships,United States,North America,LS
111646,2005,US,Fellowships,United States,North America,MINT
111661,2005,US,Fellowships,United States,North America,LS
111668,2005,AU,Fellowships,Australia,Oceania,MINT
111685,2005,US,Fellowships,United States,North America,MINT
111766,2005,FR,Fellowships,France,Europe,SSH
111811,2005,DE,Fellowships,Germany,Europe,MINT
111982,2005,DE,Fellowships,Germany,Europe,LS
112001,2005,US,Fellowships,United States,North America,LS
112045,2005,DE,Fellowships,Germany,Europe,MINT
112045,2005,US,Fellowships,United States,North America,MINT
112259,2005,AU,Fellowships,Australia,Oceania,MINT
112339,2005,US,Fellowships,United States,North America,MINT
112339,2005,US,Fellowships,United States,North America,MINT
112350,2005,US,Fellowships,United States,North America,LS
112358,2005,US,Fellowships,United States,North America,MINT
112575,2005,US,Fellowships,United States,North America,MINT
112632,2005,UK,Fellowships,United Kingdom,Europe,LS
112712,2005,US,Fellowships,United States,North America,LS
112713,2005,US,Fellowships,United States,North America,LS
112715,2005,FR,Fellowships,France,Europe,LS
112719,2005,US,Fellowships,United States,North America,LS
112726,2005,US,Fellowships,United States,North America,LS
112727,2005,UK,Fellowships,United Kingdom,Europe,MINT
112730,2005,US,Fellowships,United States,North America,SSH
112731,2005,AU,Fellowships,Australia,Oceania,LS
112734,2005,UK,Fellowships,United Kingdom,Europe,MINT
112735,2005,UK,Fellowships,United Kingdom,Europe,LS
112743,2005,UK,Fellowships,United Kingdom,Europe,SSH
112743,2005,US,Fellowships,United States,North America,SSH
112745,2005,US,Fellowships,United States,North America,SSH
112755,2005,US,Fellowships,United States,North America,MINT
112756,2005,US,Fellowships,United States,North America,LS
112760,2005,US,Fellowships,United States,North America,LS
112762,2005,US,Fellowships,United States,North America,MINT
112763,2005,DE,Fellowships,Germany,Europe,LS
112764,2005,US,Fellowships,United States,North America,LS
112766,2005,US,Fellowships,United States,North America,MINT
112767,2005,CA,Fellowships,Canada,North America,LS
112769,2005,US,Fellowships,United States,North America,LS
112771,2005,AU,Fellowships,Australia,Oceania,LS
112776,2005,US,Fellowships,United States,North America,LS
112777,2005,UK,Fellowships,United Kingdom,Europe,LS
112778,2005,US,Fellowships,United States,North America,LS
112785,2005,SE,Fellowships,Sweden,Europe,MINT
112800,2005,CA,Fellowships,Canada,North America,LS
112848,2006,CA,Fellowships,Canada,North America,LS
112855,2006,CA,Fellowships,Canada,North America,LS
112864,2006,GR,Fellowships,NA,Europe,MINT
112882,2006,US,Fellowships,United States,North America,LS
112883,2006,DE,Fellowships,Germany,Europe,SSH
112884,2006,DE,Fellowships,Germany,Europe,MINT
112897,2005,UK,Fellowships,United Kingdom,Europe,LS
112920,2006,US,Fellowships,United States,North America,LS
112922,2006,FR,Fellowships,France,Europe,MINT
112924,2006,US,Fellowships,United States,North America,SSH
112931,2006,CA,Fellowships,Canada,North America,LS
112932,2006,CA,Fellowships,Canada,North America,LS
112939,2006,US,Fellowships,United States,North America,LS
112948,2006,US,Fellowships,United States,North America,LS
112951,2006,CA,Fellowships,Canada,North America,LS
112979,2006,CA,Fellowships,Canada,North America,LS
112980,2006,UK,Fellowships,United Kingdom,Europe,LS
112982,2006,AU,Fellowships,Australia,Oceania,LS
113005,2006,US,Fellowships,United States,North America,MINT
113007,2006,FR,Fellowships,France,Europe,LS
113008,2006,US,Fellowships,United States,North America,MINT
113009,2006,US,Fellowships,United States,North America,LS
113013,2006,DE,Fellowships,Germany,Europe,LS
113014,2006,US,Fellowships,United States,North America,LS
113015,2006,US,Fellowships,United States,North America,LS
113033,2006,JP,Fellowships,NA,Asia,SSH
113033,2006,US,Fellowships,United States,North America,SSH
113035,2006,DE,Fellowships,Germany,Europe,SSH
113040,2006,US,Fellowships,United States,North America,SSH
113041,2006,US,Fellowships,United States,North America,SSH
113042,2006,UK,Fellowships,United Kingdom,Europe,SSH
113042,2006,DE,Fellowships,Germany,Europe,SSH
113042,2006,FR,Fellowships,France,Europe,SSH
113050,2006,IT,Fellowships,Italy,Europe,SSH
113050,2006,UK,Fellowships,United Kingdom,Europe,SSH
113050,2006,FR,Fellowships,France,Europe,SSH
113051,2006,UK,Fellowships,United Kingdom,Europe,SSH
113052,2006,FR,Fellowships,France,Europe,SSH
113063,2006,AT,Fellowships,Austria,Europe,SSH
113063,2006,US,Fellowships,United States,North America,SSH
113065,2006,US,Fellowships,United States,North America,SSH
113066,2006,ZA,Fellowships,NA,Africa,LS
113068,2006,UK,Fellowships,United Kingdom,Europe,SSH
113072,2006,DK,Fellowships,NA,Europe,LS
113073,2006,US,Fellowships,United States,North America,SSH
113085,2006,FR,Fellowships,France,Europe,SSH
113085,2006,ZA,Fellowships,NA,Africa,SSH
113087,2006,US,Fellowships,United States,North America,LS
113091,2006,US,Fellowships,United States,North America,LS
113092,2006,DE,Fellowships,Germany,Europe,SSH
113092,2006,DE,Fellowships,Germany,Europe,SSH
113094,2006,US,Fellowships,United States,North America,SSH
113095,2006,US,Fellowships,United States,North America,LS
113096,2006,FR,Fellowships,France,Europe,SSH
113096,2006,UK,Fellowships,United Kingdom,Europe,SSH
113097,2006,US,Fellowships,United States,North America,SSH
113098,2006,FR,Fellowships,France,Europe,SSH
113099,2006,UK,Fellowships,United Kingdom,Europe,SSH
113103,2006,US,Fellowships,United States,North America,LS
113105,2006,SE,Fellowships,Sweden,Europe,LS
113106,2006,UK,Fellowships,United Kingdom,Europe,SSH
113107,2006,US,Fellowships,United States,North America,LS
113124,2006,UK,Fellowships,United Kingdom,Europe,LS
113129,2006,SE,Fellowships,Sweden,Europe,LS
113136,2006,US,Fellowships,United States,North America,MINT
113140,2006,US,Fellowships,United States,North America,MINT
113141,2006,DK,Fellowships,NA,Europe,LS
113142,2006,US,Fellowships,United States,North America,LS
113143,2006,UK,Fellowships,United Kingdom,Europe,MINT
113145,2006,SE,Fellowships,Sweden,Europe,LS
113147,2006,US,Fellowships,United States,North America,MINT
113151,2006,US,Fellowships,United States,North America,MINT
113151,2006,US,Fellowships,United States,North America,MINT
113154,2006,UK,Fellowships,United Kingdom,Europe,MINT
113154,2006,JP,Fellowships,NA,Asia,MINT
113154,2006,CA,Fellowships,Canada,North America,MINT
113163,2006,US,Fellowships,United States,North America,MINT
113164,2006,UK,Fellowships,United Kingdom,Europe,MINT
113166,2006,DE,Fellowships,Germany,Europe,MINT
113170,2006,US,Fellowships,United States,North America,MINT
113171,2006,US,Fellowships,United States,North America,MINT
113172,2006,US,Fellowships,United States,North America,MINT
113173,2006,AT,Fellowships,Austria,Europe,MINT
113173,2006,DE,Fellowships,Germany,Europe,MINT
113173,2006,US,Fellowships,United States,North America,MINT
113176,2006,US,Fellowships,United States,North America,MINT
113176,2006,US,Fellowships,United States,North America,MINT
113177,2006,MX,Fellowships,NA,Latin America,MINT
113188,2006,US,Fellowships,United States,North America,LS
113191,2006,US,Fellowships,United States,North America,LS
113192,2006,US,Fellowships,United States,North America,LS
113194,2006,US,Fellowships,United States,North America,LS
113207,2006,US,Fellowships,United States,North America,LS
113362,2006,FR,Fellowships,France,Europe,MINT
113366,2006,US,Fellowships,United States,North America,MINT
113383,2006,US,Fellowships,United States,North America,LS
113393,2006,FR,Fellowships,France,Europe,SSH
113394,2006,US,Fellowships,United States,North America,LS
113867,2006,US,Fellowships,United States,North America,LS
113868,2006,UK,Fellowships,United Kingdom,Europe,LS
113884,2006,US,Fellowships,United States,North America,MINT
113901,2006,US,Fellowships,United States,North America,MINT
113911,2006,CA,Fellowships,Canada,North America,LS
113920,2006,US,Fellowships,United States,North America,MINT
113935,2006,US,Fellowships,United States,North America,LS
114183,2006,US,Fellowships,United States,North America,MINT
114184,2006,US,Fellowships,United States,North America,MINT
114184,2006,US,Fellowships,United States,North America,MINT
114186,2006,UK,Fellowships,United Kingdom,Europe,MINT
114191,2006,US,Fellowships,United States,North America,LS
114209,2006,UK,Fellowships,United Kingdom,Europe,LS
114210,2006,CA,Fellowships,Canada,North America,LS
114218,2006,US,Fellowships,United States,North America,LS
114220,2006,US,Fellowships,United States,North America,LS
114221,2006,AT,Fellowships,Austria,Europe,MINT
114222,2006,US,Fellowships,United States,North America,MINT
114228,2006,ES,Fellowships,Spain,Europe,SSH
114230,2006,BE,Fellowships,Belgium,Europe,LS
114238,2006,CA,Fellowships,Canada,North America,LS
114239,2006,CA,Fellowships,Canada,North America,LS
114241,2006,NZ,Fellowships,NA,Oceania,LS
114263,2006,US,Fellowships,United States,North America,LS
114269,2006,US,Fellowships,United States,North America,LS
114291,2006,US,Fellowships,United States,North America,LS
114311,2006,US,Fellowships,United States,North America,MINT
114312,2006,DE,Fellowships,Germany,Europe,MINT
114320,2006,CA,Fellowships,Canada,North America,LS
114321,2006,FR,Fellowships,France,Europe,LS
114330,2006,UK,Fellowships,United Kingdom,Europe,MINT
114330,2006,NL,Fellowships,Netherlands,Europe,MINT
114367,2006,US,Fellowships,United States,North America,MINT
114427,2006,UK,Fellowships,United Kingdom,Europe,MINT
114438,2006,UK,Fellowships,United Kingdom,Europe,MINT
114461,2006,US,Fellowships,United States,North America,MINT
114462,2006,US,Fellowships,United States,North America,LS
114470,2006,DE,Fellowships,Germany,Europe,MINT
114472,2006,DK,Fellowships,NA,Europe,MINT
114478,2006,NP,Fellowships,NA,Asia,SSH
114527,2006,US,Fellowships,United States,North America,LS
114600,2006,AT,Fellowships,Austria,Europe,LS
114601,2006,CA,Fellowships,Canada,North America,SSH
114602,2006,CN,Fellowships,NA,Asia,MINT
114611,2006,SE,Fellowships,Sweden,Europe,LS
114615,2006,US,Fellowships,United States,North America,LS
